wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
MvVFaxp3p,https://weibo.cn/comment/MvVFaxp3p?uid=6615807353&rl=0#cmtfrm,今天是我的生日03月06日，来祝福我吧~  ,,无,True,无,2023-03-06 01:04,生日动态,1,0,0
MukDr4SBU,https://weibo.cn/comment/MukDr4SBU?uid=6615807353&rl=0#cmtfrm,快来和我一起安慰失心熊吧，收集小熊饼干，有机会获得神秘动作和惊喜时装 失心熊又难过了，快帮我安慰下它吧，我的小熊饼干都给你！  ,,无,True,无,2023-02-23 12:58,蛋仔派对,2,0,0
MiC4YtfaL,https://weibo.cn/comment/MiC4YtfaL?uid=6615807353&rl=0#cmtfrm,"转发理由:期待了好看好看  
原始用户: 奥比岛-梦想国度
转发内容: #奥比岛# #奥比岛1.6#[奥比岛]转发有奖丨1.6版本「凛冬童话」12月15日即将开启！[奥比岛]数百年前，快乐星球坠入了永恒的冬季。有一个女孩，在寒冷中也积极生活着，期待温暖春天的到来。小女孩遇到了一位由雪人化作的神秘绅士，他教会了小女孩奇妙的创造术，播种下给人们在冬日带来幸福的愿望。然...全文 原图 ",无,http://ww2.sinaimg.cn/large/008bDnxjgy1h8w80x9k2dj31cr0u0166.jpg,False,无,2022-12-08 11:19,K30 至尊纪念版,1,0,0
MfUabuDvd,https://weibo.cn/comment/MfUabuDvd?uid=6615807353&rl=0#cmtfrm,"转发理由:家人们，冲  
原始用户: 奥比岛-梦想国度
转发内容: #奥比岛# #奥比岛1.5#[奥比岛]转发有奖丨1.5版本PV逗趣来袭[奥比岛]「嗡嗡运动会，你，准备好了吗？」“嗡嗡运动会”是岛上的传统体育赛事，也是蜜蜂和奥比之间友谊的象征。今年的嗡嗡运动会即将在奥比岛拉开帷幕，不知这次在运动会大展身手的会是谁呢？欢呼、鲜花与掌声已经准备就绪，先跟随镜头...全文 ",无,,False,无,2022-11-20 15:50,K30 至尊纪念版,0,0,0
M4aZ3988T,https://weibo.cn/comment/M4aZ3988T?uid=6615807353&rl=0#cmtfrm,在 #奥比岛手游# 超话签到必得游戏内道具！我已经获得了精美奖品，大家一起来领哇！ 《奥比岛：梦想国度》1天签到礼包  ,,无,True,无,2022-09-04 12:36,微博游戏,0,0,0
Lio7A8zgN,https://weibo.cn/comment/Lio7A8zgN?uid=6615807353&rl=0#cmtfrm,今天是我的生日03月06日，来祝福我吧~  ,,无,True,无,2022-03-06 01:03,生日动态,0,0,0
HCD3To0iN,https://weibo.cn/comment/HCD3To0iN?uid=6615807353&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 搞笑
转发内容: 完美诠释了我目前的性格状态 #搞笑#   [组图共9张] 原图 ",无,http://ww1.sinaimg.cn/large/693190e0gy1fkyzjt0j2kj20a00a0js1.jpg http://ww3.sinaimg.cn/large/693190e0gy1fkyzjsw5y5j20a00a0wf2.jpg http://ww4.sinaimg.cn/large/693190e0gy1fkyzjt4oewj20a00a03z6.jpg http://ww1.sinaimg.cn/large/693190e0gy1fkyzjt89i2j20a00a0wey.jpg http://ww4.sinaimg.cn/large/693190e0gy1fkyzjtcagjj20a00a0t9e.jpg http://ww4.sinaimg.cn/large/693190e0gy1fkyzjtguooj20a00a0dg9.jpg http://ww1.sinaimg.cn/large/693190e0gy1fkyzjtjyhyj20a00a0q3o.jpg http://ww2.sinaimg.cn/large/693190e0gy1fkyzjtnaf6j20a00a00tf.jpg http://ww1.sinaimg.cn/large/693190e0gy1fkyzjtpykvj20a00a03yz.jpg,False,无,2019-07-09 08:54,HUAWEI Mate 8,0,0,0
