期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022144,2022-12-15（四）,07,20,22,23,31,32,05,400859910,1615187506
2022143,2022-12-13（二）,07,08,13,29,30,33,03,397641696,1612687877
2022142,2022-12-11（日）,01,03,13,16,21,27,03,440572602,1636406391
2022141,2022-12-08（四）,05,12,13,17,20,27,14,415110854,1674155872
2022140,2022-12-06（二）,08,09,18,19,20,27,15,397499610,1702647485
2022139,2022-12-04（日）,06,07,09,16,17,19,14,421220444,1751181135
2022138,2022-12-01（四）,02,14,19,21,25,28,11,382295872,1744972360
2022137,2022-11-29（二）,08,21,23,27,28,33,01,380398430,1696427005
2022136,2022-11-27（日）,08,10,14,15,18,22,08,412826960,1678628784
2022135,2022-11-24（四）,09,11,13,24,28,32,06,402652460,1733838061
2022134,2022-11-22（二）,01,05,14,17,24,31,14,404859714,1728998506
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022133,2022-11-20（日）,05,08,16,17,21,25,12,457083562,1713363599
2022132,2022-11-17（四）,01,03,18,26,32,33,04,439981994,1698530418
2022131,2022-11-15（二）,03,05,10,13,19,29,06,425292626,1640635486
2022130,2022-11-13（日）,02,08,15,17,26,28,12,446023212,1689813201
2022129,2022-11-10（四）,10,12,14,22,24,27,07,430007836,1908461423
2022128,2022-11-08（二）,03,12,18,24,27,29,01,420999886,1889014542
2022127,2022-11-06（日）,03,04,09,10,29,33,13,455409958,1869259580
2022126,2022-11-03（四）,01,13,15,17,26,33,13,436137344,1807038683
2022125,2022-11-01（二）,02,03,07,12,20,31,16,429659904,1762667038
2022124,2022-10-30（日）,05,10,13,18,24,26,01,383396494,1740587803
2022123,2022-10-27（四）,10,13,16,20,21,25,05,360850820,1693327054
2022122,2022-10-25（二）,06,08,17,19,24,28,05,350001646,1677059125
2022121,2022-10-23（日）,12,17,22,27,30,31,02,380066114,1769892531
2022120,2022-10-20（四）,02,15,19,26,27,29,02,355500194,1742358177
2022119,2022-10-18（二）,02,05,15,18,26,27,04,341495720,1899873541
2022118,2022-10-16（日）,02,06,07,11,14,33,08,374309728,1910541782
2022117,2022-10-13（四）,04,13,17,18,28,29,06,345578024,1901177457
2022116,2022-10-11（二）,08,14,26,27,30,33,01,337975208,1923415752
2022115,2022-10-09（日）,06,07,18,20,27,29,09,359461828,1849681926
2022114,2022-10-06（四）,01,05,15,19,26,29,13,347069064,1986647604
2022113,2022-09-29（四）,13,14,20,24,27,29,02,363604180,1991635746
2022112,2022-09-27（二）,03,05,08,17,25,31,01,348893862,1937385782
2022111,2022-09-25（日）,02,10,11,13,28,31,01,385923798,1901720272
2022110,2022-09-22（四）,09,13,15,18,20,28,15,352346658,1836366779
2022109,2022-09-20（二）,04,11,13,19,22,33,11,349805376,1811161575
2022108,2022-09-18（日）,01,07,13,17,18,31,15,379260702,1790162397
2022107,2022-09-15（四）,03,09,11,15,19,28,16,342747048,1794077479
2022106,2022-09-13（二）,17,20,22,23,24,31,01,336123528,1800820638
2022105,2022-09-11（日）,06,12,13,15,21,23,15,357410590,1747497631
2022104,2022-09-08（四）,01,08,19,25,26,31,01,337087306,1704610228
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022103,2022-09-06（二）,06,09,12,14,20,28,10,331343836,1753950406
2022102,2022-09-04（日）,09,10,12,18,29,32,14,360805992,1772160912
2022101,2022-09-01（四）,04,16,18,19,27,28,04,342584116,1742459306
2022100,2022-08-30（二）,02,06,07,15,20,21,15,338953236,1869582122
2022099,2022-08-28（日）,01,11,23,24,26,32,15,368635154,1867860655
2022098,2022-08-25（四）,02,03,04,06,21,33,05,339839938,1853286941
2022097,2022-08-23（二）,04,05,10,13,30,31,14,339168020,1876944863
2022096,2022-08-21（日）,03,16,17,19,25,33,07,374401638,1824688735
2022095,2022-08-18（四）,04,13,14,18,20,28,08,339954958,2028343930
2022094,2022-08-16（二）,06,11,13,16,19,31,02,333751422,2024071723
2022093,2022-08-14（日）,21,22,24,28,29,32,14,363673578,1991811868
2022092,2022-08-11（四）,07,10,16,20,21,27,11,337222664,1927997908
2022091,2022-08-09（二）,08,18,20,22,24,28,10,335981918,1983706692
2022090,2022-08-07（日）,01,04,25,27,29,30,07,365943774,1985834009
2022089,2022-08-04（四）,02,07,15,29,31,33,15,342434670,2006110048
2022088,2022-08-02（二）,03,09,15,17,20,22,06,340253450,1970007210
2022087,2022-07-31（日）,05,06,09,13,23,25,08,370042706,2038263308
2022086,2022-07-28（四）,01,04,08,21,23,24,11,345421240,2050676797
2022085,2022-07-26（二）,07,09,14,31,32,33,13,341538762,2041516396
2022084,2022-07-24（日）,03,18,23,24,25,32,09,368808592,2055734480
2022083,2022-07-21（四）,08,12,13,14,19,20,05,347550570,2040473284
2022082,2022-07-19（二）,04,10,11,23,30,32,14,347371994,2063526963
2022081,2022-07-17（日）,04,08,11,21,27,30,01,373064250,2018613381
2022080,2022-07-14（四）,05,12,15,17,18,27,04,342797508,1986021667
2022079,2022-07-12（二）,01,09,15,17,22,23,16,341273762,1982330237
2022078,2022-07-10（日）,01,04,05,15,17,31,09,366650644,1919037561
2022077,2022-07-07（四）,03,17,18,19,20,27,16,345118818,1909641199
2022076,2022-07-05（二）,08,09,10,13,24,29,02,342718328,1930610784
