期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021023,2021-03-07（日）,02,21,22,23,27,28,11,397987234,903402709
2021022,2021-03-04（四）,10,15,17,25,31,32,06,361605820,871216452
2021021,2021-03-02（二）,04,08,17,24,28,33,13,350734702,834097039
2021020,2021-02-28（日）,01,03,06,07,09,11,02,385685036,877930510
2021019,2021-02-25（四）,12,16,17,24,28,29,08,351320330,916231105
2021018,2021-02-23（二）,02,08,14,23,25,32,06,352299530,924046536
2021017,2021-02-21（日）,09,15,18,29,32,33,02,442443732,879807720
2021016,2021-02-07（日）,03,08,09,13,15,18,10,447622614,844483666
2021015,2021-02-04（四）,06,14,16,26,28,29,07,373264066,874580915
2021014,2021-02-02（二）,04,15,21,25,29,33,06,365029152,860487095
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021013,2021-01-31（日）,06,09,12,16,27,31,06,403024326,812490648
2021012,2021-01-28（四）,03,06,14,18,20,26,01,365486356,862128803
2021011,2021-01-26（二）,05,10,16,23,27,33,14,358439884,907192691
2021010,2021-01-24（日）,01,04,11,19,32,33,05,394795416,976145268
2021009,2021-01-21（四）,02,04,07,24,25,32,13,367324734,952228282
2021008,2021-01-19（二）,01,05,07,14,18,33,07,358122646,906339544
2021007,2021-01-17（日）,02,04,12,21,25,32,16,389232822,885330100
2021006,2021-01-14（四）,06,08,22,24,25,26,01,367900704,822318331
2021005,2021-01-12（二）,07,09,14,26,30,31,04,359757108,806944718
2021004,2021-01-10（日）,02,03,07,08,17,22,15,396531778,824817771
2021003,2021-01-07（四）,06,09,16,18,22,29,11,360514540,753939585
2021002,2021-01-05（二）,06,10,13,25,26,32,11,374374440,718352017
2021001,2021-01-03（日）,02,03,13,18,20,31,11,411170524,710439245
2020134,2020-12-31（四）,02,09,10,20,22,26,01,399565532,704501324
2020133,2020-12-29（二）,03,19,22,23,27,29,07,370330222,893973468
2020132,2020-12-27（日）,01,04,11,12,14,23,04,425174496,839661890
2020131,2020-12-24（四）,08,19,22,26,27,30,07,394370394,791358796
2020130,2020-12-22（二）,08,09,11,14,17,29,16,405085034,793700272
2020129,2020-12-20（日）,01,02,05,15,28,33,04,428354318,786807887
2020128,2020-12-17（四）,08,10,15,16,23,26,10,395094864,794699858
2020127,2020-12-15（二）,01,04,18,19,26,31,07,385288238,824075658
2020126,2020-12-13（日）,03,07,12,14,23,28,11,423827948,823570698
2020125,2020-12-10（四）,05,12,16,26,30,31,13,403248064,942641447
2020124,2020-12-08（二）,16,18,19,20,29,33,12,394367604,916453174
2020123,2020-12-06（日）,01,03,18,19,26,29,03,442277628,869247735
2020122,2020-12-03（四）,12,15,17,24,26,31,15,416050434,810048147
2020121,2020-12-01（二）,02,04,06,21,25,29,03,425615038,777556587
2020120,2020-11-29（日）,01,02,03,04,09,10,12,470788664,738529199
2020119,2020-11-26（四）,01,09,22,28,32,33,15,432978556,837777744
2020118,2020-11-24（二）,11,13,19,26,30,33,05,419968358,835737606
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2020117,2020-11-22（日）,07,08,09,10,16,27,07,460145954,785993086
2020116,2020-11-19（四）,05,06,14,16,19,27,10,434234564,841135768
2020115,2020-11-17（二）,01,04,12,20,25,32,02,435736254,837138988
2020114,2020-11-15（日）,01,05,11,24,30,32,03,476450128,757446327
2020113,2020-11-12（四）,01,03,07,10,22,32,11,436471868,772385388
2020112,2020-11-10（二）,02,09,12,17,28,32,05,426910448,802000209
2020111,2020-11-08（日）,06,09,17,22,24,26,16,459469274,808174858
2020110,2020-11-05（四）,02,06,09,14,22,25,04,365150166,721987721
2020109,2020-11-03（二）,06,13,16,20,23,32,13,358593188,723801259
2020108,2020-11-01（日）,10,12,15,17,23,32,05,398129794,793968638
2020107,2020-10-29（四）,03,09,11,24,25,28,16,372099740,835776030
2020106,2020-10-27（二）,02,04,11,15,18,28,10,362151946,802335158
2020105,2020-10-25（日）,06,14,19,20,22,24,01,399513718,837418291
2020104,2020-10-22（四）,04,08,10,16,27,29,09,371069028,806356097
2020103,2020-10-20（二）,04,09,10,22,28,32,08,363566614,812186919
2020102,2020-10-18（日）,09,10,19,25,26,29,08,385810668,837068374
2020101,2020-10-15（四）,10,17,24,25,28,30,15,360073112,1196363693
2020100,2020-10-13（二）,01,07,15,16,20,23,07,352785364,1167865459
2020099,2020-10-11（日）,05,06,11,12,15,30,12,390640850,1181200651
2020098,2020-10-08（四）,06,08,11,22,25,33,02,347585130,1171889114
2020097,2020-10-06（二）,02,08,21,25,26,30,10,352372566,1147656700
2020096,2020-09-29（二）,01,20,23,26,27,32,15,356787262,1228050661
2020095,2020-09-27（日）,03,09,16,17,20,26,02,387062108,1197849256
2020094,2020-09-24（四）,10,15,17,27,29,31,08,357043412,1182554395
2020093,2020-09-22（二）,04,05,10,13,15,19,15,364874692,1159982996
2020092,2020-09-20（日）,01,06,12,18,22,24,03,394714558,1113718036
2020091,2020-09-17（四）,01,09,11,12,16,19,16,362307424,1088865952
2020090,2020-09-15（二）,02,21,23,26,31,32,06,357200726,1090266240
2020089,2020-09-13（日）,02,14,16,21,29,30,10,388734662,1061368833
2020088,2020-09-10（四）,01,06,12,26,29,30,12,359763320,1049789346
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2020087,2020-09-08（二）,11,15,20,23,25,33,10,351393474,1066743130
2020086,2020-09-06（日）,02,04,06,15,24,27,06,383150704,1051310454
2020085,2020-09-03（四）,01,02,05,09,19,24,16,349243256,1039096893
2020084,2020-09-01（二）,03,07,16,17,23,30,07,340223360,997837500
2020083,2020-08-30（日）,01,19,25,26,30,31,12,375628538,1046377044
2020082,2020-08-27（四）,02,08,11,17,21,30,09,339738944,1025240399
2020081,2020-08-25（二）,01,05,13,14,27,33,15,341884184,1129524256
2020080,2020-08-23（日）,14,15,18,22,31,33,01,375199530,1122276717
2020079,2020-08-20（四）,05,12,20,21,22,29,14,347031342,1058784536
2020078,2020-08-18（二）,03,11,14,16,21,32,04,339766446,1029746619
2020077,2020-08-16（日）,03,10,16,21,25,27,12,376430570,960537693
2020076,2020-08-13（四）,10,15,16,18,20,27,06,346015916,1033084399
2020075,2020-08-11（二）,03,11,13,20,24,30,16,342593198,1031374526
2020074,2020-08-09（日）,04,08,09,13,19,33,12,375478220,974585503
2020073,2020-08-06（四）,05,07,11,13,27,29,03,344984126,949682723
2020072,2020-08-04（二）,06,08,10,15,17,26,04,335806408,945569865
2020071,2020-08-02（日）,09,11,12,13,22,23,08,363190440,931954524
2020070,2020-07-30（四）,01,02,04,06,19,21,15,343442594,953784945
2020069,2020-07-28（二）,03,09,10,13,18,26,04,343151528,1016346427
2020068,2020-07-26（日）,12,16,21,26,27,32,10,376630286,996910195
2020067,2020-07-23（四）,04,07,09,23,27,30,08,353153516,1061790227
2020066,2020-07-21（二）,02,09,13,17,26,28,07,352149702,1057341835
2020065,2020-07-19（日）,09,15,18,21,23,26,08,381062334,1090832907
2020064,2020-07-16（四）,01,03,07,21,27,32,01,356057386,1063056063
2020063,2020-07-14（二）,12,15,16,22,29,32,14,357076054,991892696
2020062,2020-07-12（日）,10,14,17,22,26,27,05,391827962,932509919
2020061,2020-07-09（四）,08,17,24,26,27,31,04,366447904,903858043
2020060,2020-07-07（二）,05,09,14,20,24,30,08,356937202,837071557
2020059,2020-07-05（日）,02,04,10,17,22,25,14,386807160,1002178704
2020058,2020-07-02（四）,01,03,11,12,19,26,07,356052050,958212978
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2020057,2020-06-30（二）,09,14,21,23,26,32,03,349147892,1019998705
2020056,2020-06-28（日）,02,05,08,12,26,31,14,380233782,984522456
2020055,2020-06-25（四）,01,05,07,23,28,30,12,327140694,1009674637
2020054,2020-06-23（二）,03,10,19,25,26,31,02,338817016,1050374135
2020053,2020-06-21（日）,02,14,15,16,32,33,01,381666534,1057074616
2020052,2020-06-18（四）,02,08,13,29,32,33,15,352815504,1085336824
2020051,2020-06-16（二）,03,06,08,11,19,28,08,342968302,1014976572
2020050,2020-06-14（日）,04,09,17,20,32,33,15,379409292,1101983169
2020049,2020-06-11（四）,01,07,09,12,18,22,04,355402476,1062851807
2020048,2020-06-09（二）,12,14,18,23,30,32,02,351604616,1046798674
2020047,2020-06-07（日）,04,10,17,19,28,32,01,382084220,1021279165
2020046,2020-06-04（四）,13,19,25,26,27,32,08,350122868,1010760962
2020045,2020-06-02（二）,02,03,15,21,22,33,16,348295556,1010042406
2020044,2020-05-31（日）,07,08,16,17,19,24,07,379328476,1042719025
2020043,2020-05-28（四）,01,11,24,25,27,30,07,360394276,1043134035
2020042,2020-05-26（二）,02,06,07,11,14,31,03,345472844,1027873219
2020041,2020-05-24（日）,06,07,16,22,24,25,13,372422582,1005915378
2020040,2020-05-21（四）,01,06,12,16,19,21,04,341533118,947818891
2020039,2020-05-19（二）,02,09,10,11,16,29,02,341609556,925841149
2020038,2020-05-17（日）,01,06,07,18,23,24,15,374760420,922526038
2020037,2020-05-14（四）,01,04,11,13,17,24,15,350126486,944864355
2020036,2020-05-12（二）,07,09,16,22,24,32,06,346455736,944994783
2020035,2020-05-10（日）,10,14,24,25,28,33,11,371811232,911288358
2020034,2020-05-07（四）,02,08,15,16,26,32,03,340793680,878740204
2020033,2020-05-05（二）,07,10,12,21,31,32,01,320555362,879873846
2020032,2020-05-03（日）,03,11,13,14,15,26,13,338904002,843200936
2020031,2020-04-30（四）,02,05,09,15,16,27,09,323903392,850135149
2020030,2020-04-28（二）,17,18,21,29,30,32,03,327786632,896891829
2020029,2020-04-26（日）,01,12,18,20,30,32,05,364268814,835276431
2020028,2020-04-23（四）,05,06,15,18,26,32,08,323795596,823449380
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2020027,2020-04-21（二）,12,13,14,24,25,28,06,324196702,810989197
2020026,2020-04-19（日）,01,04,09,18,19,31,06,349633986,769853394
2020025,2020-04-16（四）,01,09,10,15,20,29,02,321611812,742200788
2020024,2020-04-14（二）,10,13,27,28,29,31,08,317568426,707451262
2020023,2020-04-12（日）,04,05,20,21,30,33,08,340318270,702813893
2020022,2020-04-09（四）,02,10,20,22,25,30,02,311416184,695229480
2020021,2020-04-07（二）,02,06,14,16,27,31,07,296655800,696474938
2020020,2020-04-05（日）,01,06,09,13,15,22,14,310764432,685979970
2020019,2020-04-02（四）,15,19,27,28,30,33,03,293920314,652393178
2020018,2020-03-31（二）,05,07,08,11,17,22,13,287194532,640479172
2020017,2020-03-29（日）,02,04,07,15,20,27,04,295712918,650980126
2020016,2020-03-26（四）,05,06,08,17,24,27,07,260860736,685053744
2020015,2020-03-24（二）,08,09,22,24,30,33,01,255551054,712719613
2020014,2020-03-22（日）,02,07,08,10,12,16,07,261933168,661997100
2020013,2020-03-19（四）,02,08,10,20,21,30,14,215545590,660220960
2020012,2020-03-17（二）,04,13,14,23,26,31,09,198501652,652719440
2020011,2020-03-15（日）,04,05,07,17,18,29,01,176331724,638032121
2020010,2020-03-12（四）,11,14,22,27,31,32,09,142522854,654279153
2020009,2020-01-21（二）,03,06,08,14,19,26,12,405733380,645107708
2020008,2020-01-19（日）,01,04,06,10,11,28,16,395048088,680964320
2020007,2020-01-16（四）,05,12,17,20,25,31,10,358035962,709741377
2020006,2020-01-14（二）,03,04,05,10,16,32,09,361697316,860929224
2020005,2020-01-12（日）,11,16,17,22,26,32,04,400642476,920486146
2020004,2020-01-09（四）,02,15,17,27,32,33,03,370826158,906654598
2020003,2020-01-07（二）,09,17,26,29,30,32,03,368960938,885816521
2020002,2020-01-05（日）,04,09,14,15,16,29,11,410784878,911355134
2020001,2020-01-02（四）,02,15,23,26,29,30,02,388311860,939054504
2019151,2019-12-31（二）,02,06,09,18,24,26,14,405999712,885545850
2019150,2019-12-29（日）,02,09,14,22,27,29,02,424037140,855139985
2019149,2019-12-26（四）,01,06,27,28,31,33,07,401837358,836506504
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2019148,2019-12-24（二）,09,10,13,20,26,27,08,412835082,870667904
2019147,2019-12-22（日）,01,09,12,14,23,27,12,428843148,1035973571
2019146,2019-12-19（四）,01,04,10,12,30,32,14,400822952,1030878448
2019145,2019-12-17（二）,01,08,13,17,18,19,16,404721396,969648184
2019144,2019-12-15（日）,02,12,15,19,27,30,03,448943976,991024359
2019143,2019-12-12（四）,05,13,15,16,26,32,09,421054466,986249870
2019142,2019-12-10（二）,08,14,24,27,29,33,09,429455474,998995951
2019141,2019-12-08（日）,10,13,14,15,17,33,14,466103236,1042760527
2019140,2019-12-05（四）,02,04,09,11,14,22,05,421874374,966423413
2019139,2019-12-03（二）,08,14,20,23,30,33,11,420684332,1043301115
2019138,2019-12-01（日）,02,06,12,30,31,32,11,455574142,986542917
2019137,2019-11-28（四）,07,10,13,19,23,31,06,414318454,1015204480
2019136,2019-11-26（二）,12,14,15,17,29,33,12,411048748,1105571297
2019135,2019-11-24（日）,03,06,10,11,27,33,03,448749008,1086229996
2019134,2019-11-21（四）,01,04,06,22,29,30,03,424644500,1027388308
2019133,2019-11-19（二）,03,07,16,21,24,31,07,412973230,997265432
2019132,2019-11-17（日）,04,06,11,14,19,33,07,443878462,981615374
2019131,2019-11-14（四）,09,17,19,20,24,31,04,413548024,955790186
2019130,2019-11-12（二）,01,07,09,11,24,32,16,418172282,951230446
2019129,2019-11-10（日）,03,04,07,09,15,26,07,442669038,952320130
2019128,2019-11-07（四）,03,08,12,16,17,19,08,342336168,1008312621
2019127,2019-11-05（二）,02,06,07,12,17,24,10,338393664,1027292513
2019126,2019-11-03（日）,02,14,17,29,32,33,16,369776508,1062273688
2019125,2019-10-31（四）,02,11,12,26,27,29,03,342491160,1054933143
2019124,2019-10-29（二）,04,09,30,31,32,33,01,337939626,1042703541
2019123,2019-10-27（日）,02,06,08,17,28,30,06,360609038,1067428638
2019122,2019-10-24（四）,04,10,15,19,21,23,02,334989390,1131287397
2019121,2019-10-22（二）,02,06,15,21,30,31,02,334748934,1091862134
2019120,2019-10-20（日）,10,12,27,31,32,33,03,361613906,1117954087
2019119,2019-10-17（四）,04,20,22,24,26,33,07,332545590,1089354655
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2019118,2019-10-15（二）,12,14,15,25,28,31,04,329400746,1105685807
2019117,2019-10-13（日）,03,05,11,28,32,33,01,358734764,1085958852
2019116,2019-10-10（四）,01,08,09,13,16,33,01,336502106,1047187205
2019115,2019-10-08（二）,04,10,11,14,15,29,05,354033692,1023230427
2019114,2019-09-29（日）,02,04,09,11,12,30,01,372847052,1016450569
2019113,2019-09-26（四）,01,05,19,21,25,33,15,339648916,966030310
2019112,2019-09-24（二）,03,12,14,17,23,27,01,335430712,939911612
2019111,2019-09-22（日）,07,18,20,22,24,33,01,371095278,907833069
2019110,2019-09-19（四）,01,18,22,26,27,28,08,345297696,869553104
2019109,2019-09-17（二）,03,06,07,17,28,31,10,339057352,862636404
2019108,2019-09-15（日）,07,13,19,22,25,32,13,361553454,842165456
2019107,2019-09-12（四）,02,06,08,23,27,32,02,326852234,856645293
2019106,2019-09-10（二）,02,14,22,27,30,33,14,330410652,799590658
2019105,2019-09-08（日）,02,13,15,17,26,33,01,365092568,754476375
2019104,2019-09-05（四）,01,05,16,17,18,24,10,336503558,727332881
2019103,2019-09-03（二）,04,12,14,21,27,29,12,334444954,726754909
2019102,2019-09-01（日）,03,08,12,16,20,32,12,365310214,665286304
2019101,2019-08-29（四）,01,04,09,21,31,33,05,336008906,716370043
2019100,2019-08-27（二）,01,04,12,13,30,32,08,334319180,720116287
2019099,2019-08-25（日）,07,14,22,23,27,30,08,355328056,667283924
2019098,2019-08-22（四）,03,11,12,14,17,26,09,334187522,759762439
2019097,2019-08-20（二）,03,05,18,24,25,31,09,328319954,729874065
2019096,2019-08-18（日）,05,07,12,18,27,32,11,355103324,720969696
2019095,2019-08-15（四）,02,05,14,19,21,28,01,327102912,908224516
2019094,2019-08-13（二）,05,10,12,18,19,27,06,318739184,870773310
2019093,2019-08-11（日）,05,07,08,09,20,22,02,343851622,870686214
2019092,2019-08-08（四）,09,17,27,28,32,33,08,325113036,961868391
2019091,2019-08-06（二）,07,10,21,24,29,32,11,321773688,965901226
2019090,2019-08-04（日）,02,03,06,08,14,22,04,355808718,912434874
2019089,2019-08-01（四）,02,04,14,16,20,22,11,321183320,851666935
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2019088,2019-07-30（二）,13,14,15,21,23,29,13,320442344,848907760
2019087,2019-07-28（日）,04,05,07,09,21,30,04,348495228,904387916
2019086,2019-07-25（四）,16,22,24,26,28,31,06,318423888,868561562
2019085,2019-07-23（二）,01,04,14,18,24,29,04,322387974,882276151
2019084,2019-07-21（日）,04,08,14,18,20,27,03,356282880,892130280
2019083,2019-07-18（四）,06,15,17,26,28,31,03,329029762,926738145
2019082,2019-07-16（二）,07,16,19,22,24,28,02,328221990,927370251
2019081,2019-07-14（日）,05,24,27,29,31,32,10,359862504,907395563
2019080,2019-07-11（四）,03,06,08,20,24,32,07,333601616,878626031
2019079,2019-07-09（二）,01,03,06,09,19,31,16,324952306,884700186
2019078,2019-07-07（日）,01,17,27,29,31,33,12,358699764,911692755
2019077,2019-07-04（四）,09,11,13,18,21,22,15,331156004,928983242
2019076,2019-07-02（二）,12,15,19,20,29,32,14,327737064,860745165
2019075,2019-06-30（日）,05,08,20,22,31,33,03,356452390,825389586
2019074,2019-06-27（四）,12,21,27,29,31,33,04,339313032,777279978
2019073,2019-06-25（二）,01,02,06,12,16,18,08,334373706,731798593
2019072,2019-06-23（日）,02,09,13,15,22,30,15,366310328,784809688
2019071,2019-06-20（四）,01,08,19,24,29,30,04,338921834,779942491
2019070,2019-06-18（二）,06,15,18,19,24,32,09,335727814,839590047
2019069,2019-06-16（日）,06,11,16,19,21,25,01,370103190,813208375
2019068,2019-06-13（四）,03,14,20,24,26,33,10,331635522,802934315
2019067,2019-06-11（二）,04,06,08,11,30,33,11,330381956,781887228
2019066,2019-06-09（日）,01,14,17,20,22,32,04,354505682,765994853
2019065,2019-06-06（四）,06,09,11,15,20,26,10,327400036,737867862
2019064,2019-06-04（二）,12,20,24,25,30,33,12,331639006,743421022
2019063,2019-06-02（日）,01,14,19,22,29,31,16,361222550,718713061
2019062,2019-05-30（四）,07,13,16,23,26,30,01,339468976,684734277
2019061,2019-05-28（二）,03,17,19,24,27,31,12,335296666,655425812
2019060,2019-05-26（日）,03,04,14,20,23,27,01,367103342,628604946
2019059,2019-05-23（四）,04,05,07,09,16,18,06,345567246,561383166
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2019058,2019-05-21（二）,07,08,12,21,23,27,12,339299672,520571254
2019057,2019-05-19（日）,04,05,06,08,13,18,16,372560948,606231938
2019056,2019-05-16（四）,13,14,17,19,21,29,01,351267630,579319269
2019055,2019-05-14（二）,01,06,11,15,19,31,10,350070872,531777347
2019054,2019-05-12（日）,07,10,11,15,24,26,11,376075414,484344441
2019053,2019-05-09（四）,04,16,22,25,29,31,08,345533966,486040155
2019052,2019-05-07（二）,03,06,09,13,16,19,16,342251970,514041918
2019051,2019-05-05（日）,08,09,10,13,15,28,09,371316762,1229559631
2019050,2019-05-02（四）,04,06,10,11,21,23,02,311858860,1276546288
2019049,2019-04-30（二）,03,10,13,22,23,28,15,333775314,1300906020
2019048,2019-04-28（日）,03,07,10,12,18,29,10,379210874,1307482004
2019047,2019-04-25（四）,03,11,18,25,30,33,14,349665886,1297945208
2019046,2019-04-23（二）,02,12,16,22,25,32,06,349236650,1227436396
2019045,2019-04-21（日）,01,06,17,19,27,31,14,380577960,1272816559
2019044,2019-04-18（四）,06,14,16,17,23,29,07,350579948,1246753637
2019043,2019-04-16（二）,01,06,12,13,24,32,13,345296562,1275191954
2019042,2019-04-14（日）,15,17,19,22,25,26,04,376134240,1220955571
2019041,2019-04-11（四）,02,09,13,23,24,26,16,347145834,1183587505
2019040,2019-04-09（二）,05,06,09,18,23,31,11,335974062,1118623191
2019039,2019-04-07（日）,06,07,11,14,27,32,08,363128750,1122075950
2019038,2019-04-04（四）,09,12,21,27,29,30,05,335328036,1138999919
2019037,2019-04-02（二）,01,07,12,14,18,25,10,344923376,1154793537
2019036,2019-03-31（日）,02,10,13,16,23,32,08,383547756,1164805979
2019035,2019-03-28（四）,01,05,07,09,10,20,16,354951028,1269805979
2019034,2019-03-26（二）,09,11,15,22,24,26,03,354652922,1263277472
2019033,2019-03-24（日）,09,15,19,21,23,29,15,385168218,1259439534
2019032,2019-03-21（四）,04,08,09,13,28,33,04,353034100,1308932812
2019031,2019-03-19（二）,03,13,15,18,21,33,16,358344316,1276420305
2019030,2019-03-17（日）,04,05,07,10,12,22,16,392415448,1240512761
2019029,2019-03-14（四）,08,11,17,23,32,33,10,358515950,1269306832
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2019028,2019-03-12（二）,04,19,22,26,29,30,11,356878622,1244140628
2019027,2019-03-10（日）,02,06,08,10,11,17,13,393236612,1257385558
2019026,2019-03-07（四）,03,13,15,19,20,27,14,349411720,1242805065
2019025,2019-03-05（二）,15,16,21,27,30,33,04,345714892,1246342879
2019024,2019-03-03（日）,01,08,23,25,28,29,10,384117562,1209747493
2019023,2019-02-28（四）,01,10,14,15,18,31,13,353488994,1207046316
2019022,2019-02-26（二）,03,07,11,21,30,33,07,338829860,1233143388
2019021,2019-02-24（日）,02,05,07,08,20,27,04,370839306,1301850849
2019020,2019-02-21（四）,02,12,13,23,27,28,12,330603914,1268982145
2019019,2019-02-19（二）,03,11,17,18,24,25,06,326400930,1285383840
2019018,2019-02-17（日）,04,11,18,19,26,32,04,349743310,1370346090
2019017,2019-02-14（四）,04,05,24,28,30,33,09,312764888,1355934705
2019016,2019-02-12（二）,05,07,09,11,19,25,05,314659700,1334598348
2019015,2019-02-03（日）,11,15,16,20,24,31,04,386508326,1352193873
2019014,2019-01-31（四）,01,02,03,14,19,33,03,327526362,1364355844
2019013,2019-01-29（二）,05,07,14,16,18,21,01,332648408,1347698265
2019012,2019-01-27（日）,07,10,21,23,31,33,14,370443836,1303808580
2019011,2019-01-24（四）,10,13,19,21,24,30,07,340431350,1245829570
2019010,2019-01-22（二）,02,04,05,08,11,30,02,336769874,1223708496
2019009,2019-01-20（日）,01,07,10,22,31,32,15,376873348,1267633646
2019008,2019-01-17（四）,02,06,09,13,28,32,12,342498692,1255320435
2019007,2019-01-15（二）,06,10,14,15,19,23,15,340543166,1223439184
2019006,2019-01-13（日）,01,05,10,19,26,28,12,375825296,1211353738
2019005,2019-01-10（四）,21,22,26,28,31,32,07,343365078,1326043660
2019004,2019-01-08（二）,08,12,16,19,26,32,03,338080388,1346750738
2019003,2019-01-06（日）,13,17,20,21,22,27,01,373728002,1333321882
2019002,2019-01-03（四）,04,05,06,08,09,18,11,345144344,1294586730
2019001,2019-01-01（二）,06,10,13,15,32,33,15,341453440,1283324272
2018153,2018-12-30（日）,01,07,17,23,25,31,11,363663410,1289528301
2018152,2018-12-27（四）,04,14,16,23,28,29,03,342935808,1247608325
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2018151,2018-12-25（二）,05,15,19,25,26,29,15,345353380,1321227399
2018150,2018-12-23（日）,06,08,15,19,20,31,05,377320206,1289430060
2018149,2018-12-20（四）,01,07,08,10,12,24,01,353364860,1312652452
2018148,2018-12-18（二）,03,06,18,19,21,31,01,346743178,1315102044
2018147,2018-12-16（日）,03,15,17,23,27,30,11,378419434,1319726677
2018146,2018-12-13（四）,02,10,11,17,18,29,16,345409226,1317986374
2018145,2018-12-11（二）,03,09,13,22,23,25,06,349376292,1333080271
2018144,2018-12-09（日）,08,13,17,18,20,27,13,387956028,1403504611
2018143,2018-12-06（四）,04,06,15,28,32,33,14,373157016,1328627871
2018142,2018-12-04（二）,05,08,10,11,27,28,11,390581690,1343493083
2018141,2018-12-02（日）,11,14,16,18,24,33,04,416166816,1385805866
2018140,2018-11-29（四）,01,15,20,22,25,28,14,386006162,1320037180
2018139,2018-11-27（二）,11,18,20,23,31,32,15,380559364,1221766906
2018138,2018-11-25（日）,01,10,25,27,30,32,09,412013682,1213413511
2018137,2018-11-22（四）,03,05,11,15,20,23,09,379485292,1152259559
2018136,2018-11-20（二）,10,12,15,25,26,27,14,377111910,1166942493
2018135,2018-11-18（日）,01,03,06,10,11,29,16,406719454,1138385085
2018134,2018-11-15（四）,03,16,18,31,32,33,12,377767366,1084959009
2018133,2018-11-13（二）,02,04,11,12,18,32,13,374106026,1084505788
2018132,2018-11-11（日）,01,02,09,10,15,22,06,408709916,1043966776
2018131,2018-11-08（四）,21,22,24,31,32,33,01,383809176,1050270214
2018130,2018-11-06（二）,05,12,17,18,24,28,12,374274632,978511798
2018129,2018-11-04（日）,02,04,06,16,18,19,16,418290398,1013358099
2018128,2018-11-01（四）,06,07,08,19,22,23,02,388471822,976588973
2018127,2018-10-30（二）,02,05,06,07,11,15,12,383266268,964241444
2018126,2018-10-28（日）,01,06,08,09,14,22,05,415778246,978656335
2018125,2018-10-25（四）,03,10,11,14,15,32,02,391293382,961703467
2018124,2018-10-23（二）,09,13,14,19,22,25,02,378069006,894677451
2018123,2018-10-21（日）,13,21,24,27,31,32,01,410429482,867467741
2018122,2018-10-18（四）,05,07,20,22,30,32,10,327644802,827873755
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2018121,2018-10-16（二）,06,08,14,19,23,25,11,321305376,962509317
2018120,2018-10-14（日）,03,04,18,26,27,33,01,357215818,973089335
2018119,2018-10-11（四）,03,13,14,16,25,27,12,328321394,935364310
2018118,2018-10-09（二）,08,12,21,22,27,31,09,322015414,956670540
2018117,2018-10-07（日）,08,11,15,17,23,25,05,340052040,954956874
2018116,2018-10-04（四）,05,14,17,22,23,28,15,281786404,938345496
2018115,2018-10-02（二）,01,13,19,24,26,29,11,273986534,1121020227
2018114,2018-09-30（日）,01,07,15,16,20,27,14,336072030,1092970758
2018113,2018-09-27（四）,01,06,09,16,25,26,09,314160394,1073781687
2018112,2018-09-25（二）,05,08,18,25,26,31,04,302328982,1101702921
2018111,2018-09-23（日）,01,07,14,24,25,28,08,320180512,1123718442
2018110,2018-09-20（四）,11,13,16,21,22,23,02,307066624,1161612266
2018109,2018-09-18（二）,10,11,18,23,31,33,15,306989720,1104585752
2018108,2018-09-16（日）,05,13,18,21,26,30,02,322147946,1088482714
2018107,2018-09-13（四）,01,02,05,12,20,22,01,317508712,1146472338
