wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
MBYmL8N6I,https://weibo.cn/comment/MBYmL8N6I?uid=7827541636&rl=0#cmtfrm,#原神[超话]# #原神3.6# #盛典与慧业# 《原神》3.6版本「盛典与慧业」现已开启！#原神[超话]#签到活动现已上线，快去看看吧~ 《原神》3天签到礼包  ,,无,True,无,2023-04-14 18:59,微博游戏,0,0,0
MBPmpDuzj,https://weibo.cn/comment/MBPmpDuzj?uid=7827541636&rl=0#cmtfrm,#原神[超话]# #原神3.6# #盛典与慧业# 《原神》3.6版本「盛典与慧业」现已开启！#原神[超话]#签到活动现已上线，快去看看吧~ 《原神》2天签到礼包  ,,无,True,无,2023-04-13 20:03,微博游戏,0,0,0
MBFEXtacp,https://weibo.cn/comment/MBFEXtacp?uid=7827541636&rl=0#cmtfrm,#原神[超话]# #原神3.6# #盛典与慧业# 《原神》3.6版本「盛典与慧业」现已开启！#原神[超话]#签到活动现已上线，快去看看吧~ 《原神》1天签到礼包  ,,无,True,无,2023-04-12 19:22,微博游戏,0,0,0
MyRhBiwV3,https://weibo.cn/comment/MyRhBiwV3?uid=7827541636&rl=0#cmtfrm,#原神[超话]# #原神3.5# #风花的呼吸# 《原神》3.5版本「风花的呼吸」现已开启！#原神[超话]#签到活动现已上线，快去看看吧~ 《原神》3天签到礼包  ,,无,True,无,2023-03-25 07:26,微博游戏,0,0,0
